DT;VARIABLE;VALUE
2017-10-10 17:40:57;feature_1;0
2017-10-10 17:40:57;feature_2;0
2017-10-10 17:40:57;feature_3;0
2017-10-10 17:41:04;feature_4;0
2017-10-10 17:41:04;feature_5;0
2017-10-10 17:41:04;feature_6;0
2017-10-10 17:41:04;feature_7;0
2017-10-10 17:41:04;feature_8;0
2017-10-10 17:41:04;feature_9;0
2017-10-10 17:41:04;feature_10;0
2017-10-10 17:41:04;feature_11;0
2017-10-10 17:41:04;feature_12;0
2017-10-10 17:41:04;feature_13;0
2017-10-10 17:41:04;feature_14;0
2017-10-10 17:41:04;feature_15;0
2017-10-10 17:41:04;feature_16;0
2017-10-10 17:41:04;feature_17;0
2017-10-10 17:41:04;feature_18;0
2017-10-10 17:41:04;feature_19;0
2017-10-10 17:41:04;feature_20;0
2017-10-10 17:41:04;feature_21;0
2017-10-10 17:41:04;feature_22;0
2017-10-10 17:41:04;feature_23;0
2017-10-10 17:41:04;feature_24;0
2017-10-10 17:41:04;feature_25;0
2017-10-10 17:41:04;feature_26;0
2017-10-10 17:41:04;feature_27;0
2017-10-10 17:41:04;feature_28;0
2017-10-10 17:41:04;feature_29;0
2017-10-10 17:41:04;feature_30;0
2017-10-10 17:41:04;feature_31;0
2017-10-10 17:41:04;feature_32;0
2017-10-10 17:41:04;feature_33;0
2017-10-10 17:41:04;feature_34;0
2017-10-10 17:41:04;feature_35;0
2017-10-10 17:41:04;feature_36;0
2017-10-10 17:44:22;feature_6;0
2017-10-10 17:44:22;feature_9;0
2017-10-10 17:44:22;feature_15;0
2017-10-10 17:44:22;feature_1;0
2017-10-10 17:44:22;feature_23;0
2017-10-10 17:44:22;feature_2;0
2017-10-10 17:44:22;feature_31;0
2017-10-10 17:44:22;feature_34;0
2017-10-10 17:44:22;feature_36;0
2017-10-10 17:44:22;feature_3;0
2017-10-10 17:44:27;feature_4;0
2017-10-10 17:44:27;feature_5;0
2017-10-10 17:44:27;feature_7;0
2017-10-10 17:44:27;feature_8;0
2017-10-10 17:44:27;feature_10;0
2017-10-10 17:44:27;feature_11;0
2017-10-10 17:44:27;feature_12;0
2017-10-10 17:44:27;feature_13;0
2017-10-10 17:44:27;feature_14;0
2017-10-10 17:44:27;feature_16;0
2017-10-10 17:44:27;feature_17;0
2017-10-10 17:44:27;feature_18;0
2017-10-10 17:44:27;feature_19;0
2017-10-10 17:44:27;feature_20;0
