DT;feature_6;feature_12;feature_9;feature_15;feature_18;feature_1;feature_23;feature_26;feature_2;feature_31;feature_34;feature_36;feature_3;ltime;rtime
2017-10-10;170.0;190.0;175.0;180.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2017-10-10 17:40:57;2017-10-10 18:12:00
2017-10-11;170.0;190.0;175.0;180.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2017-10-11 09:15:51;2017-10-11 14:47:04
2017-10-15;165.0;185.0;175.0;175.0;180.0;180;185.0;185.0;185;185.0;185.0;50.0;700;2017-10-15 23:30:06;2017-10-15 23:30:10
2017-10-16;170.0;185.0;175.0;175.0;180.0;180;185.0;185.0;185;185.0;185.0;50.0;650;2017-10-16 01:11:23;2017-10-16 01:12:39
2017-10-19;170.0;190.0;175.0;180.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2017-10-19 13:28:42;2017-10-19 14:41:43
2017-10-25;165.0;190.0;175.0;180.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;700;2017-10-25 10:52:52;2017-10-25 10:53:11
2017-10-28;170.0;190.0;175.0;180.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2017-10-28 01:00:52;2017-10-28 01:00:59
2017-11-06;170.0;190.0;175.0;180.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2017-11-06 11:48:24;2017-11-06 13:33:50
2017-11-17;170.0;190.0;175.0;180.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2017-11-17 19:40:08;2017-11-17 20:37:21
2017-11-22;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2017-11-22 11:02:28;2017-11-22 19:08:20
2017-11-24;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2017-11-24 09:40:39;2017-11-24 09:40:47
2017-11-25;170.0;205.0;175.0;185.0;190.0;198;205.0;205.0;205;205.0;205.0;50.0;800;2017-11-25 10:57:29;2017-11-25 10:58:35
2017-11-26;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2017-11-26 00:26:54;2017-11-26 08:04:12
2017-11-27;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2017-11-27 07:53:19;2017-11-27 07:53:28
2017-11-29;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2017-11-29 10:43:29;2017-11-29 15:08:20
2017-12-08;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2017-12-08 09:02:09;2017-12-08 09:02:17
2017-12-18;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2017-12-18 15:48:33;2017-12-18 15:48:33
2017-12-22;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2017-12-22 16:31:13;2017-12-22 19:05:07
2017-12-23;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2017-12-23 16:33:16;2017-12-23 16:33:23
2017-12-25;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2017-12-25 12:37:05;2017-12-25 12:37:12
2017-12-27;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2017-12-27 19:54:21;2017-12-27 19:54:30
2018-01-10;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-01-10 07:15:49;2018-01-10 20:28:29
2018-01-11;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-01-11 03:12:35;2018-01-11 21:19:35
2018-01-17;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-01-17 07:11:22;2018-01-17 20:27:59
2018-01-18;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-01-18 07:05:28;2018-01-18 17:50:53
2018-01-21;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-01-21 17:59:57;2018-01-21 18:00:06
2018-01-24;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-01-24 15:35:13;2018-01-24 15:35:21
2018-02-23;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-02-23 09:40:01;2018-02-23 16:34:08
2018-03-12;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-03-12 13:21:27;2018-03-12 13:21:36
2018-05-01;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-05-01 15:38:49;2018-05-01 15:38:58
2018-06-30;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-06-30 18:10:59;2018-06-30 18:11:08
2018-07-16;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-07-16 19:40:04;2018-07-16 19:47:46
2018-07-18;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-07-18 14:24:36;2018-07-18 14:24:36
2018-08-01;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-08-01 14:04:23;2018-08-01 14:04:23
2018-08-04;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-08-04 20:03:20;2018-08-04 20:03:20
2018-08-05;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-08-05 08:54:57;2018-08-05 17:13:12
2018-08-06;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-08-06 01:36:00;2018-08-06 01:36:08
2018-08-22;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-08-22 17:39:24;2018-08-22 17:39:24
2018-09-17;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-09-17 17:09:32;2018-09-17 17:09:32
2018-10-02;165.0;165.0;165.0;165.0;165.0;165;175.0;185.0;185;185.0;165.0;50.0;800;2018-10-02 07:19:36;2018-10-02 07:20:57
2018-10-03;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-10-03 05:48:22;2018-10-03 05:49:39
2018-10-07;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-10-07 04:34:51;2018-10-07 15:39:02
2018-10-08;210.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;5.0;800;2018-10-08 15:25:58;2018-10-08 16:02:21
2018-10-09;170.0;190.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;190.0;50.0;800;2018-10-09 11:25:34;2018-10-09 20:22:19
2018-10-18;170.0;188.0;175.0;185.0;185.0;185;185.0;190.0;190;190.0;188.0;50.0;800;2018-10-18 11:49:19;2018-10-18 16:52:03
2018-10-19;165.0;188.0;168.0;170.0;180.0;183;185.0;185.0;185;185.0;187.0;50.0;800;2018-10-19 07:01:44;2018-10-19 07:42:05
2018-10-20;165.0;188.0;168.0;170.0;180.0;183;185.0;185.0;185;185.0;187.0;50.0;800;2018-10-20 15:59:36;2018-10-20 15:59:45
2018-10-24;165.0;165.0;168.0;170.0;180.0;183;185.0;185.0;185;185.0;165.0;50.0;800;2018-10-24 01:29:57;2018-10-24 04:12:21
2018-11-01;165.0;165.0;168.0;170.0;180.0;183;185.0;185.0;185;185.0;165.0;50.0;800;2018-11-01 19:37:01;2018-11-01 20:30:12
2018-11-08;165.0;165.0;168.0;170.0;180.0;183;185.0;185.0;185;185.0;165.0;50.0;800;2018-11-08 12:19:42;2018-11-08 13:11:10
